Locomotive_ID,Sold_Amount,Wango_ID,Sold_Amount_With_Locomotive
2791,307,2790,60
2791,307,3366,36
3984,303,3380,179
3984,303,4632,90
3984,303,3329,65
2850,303,2466,74
2850,303,2849,29
2850,303,1446,23
555,300,554,130
555,300,282,90
555,300,557,81
4477,298,4435,61
4477,298,4475,42
4477,298,4473,40
1379,294,3380,95
1379,294,4632,88
1379,294,3329,61
1488,292,3825,23
1488,292,1976,22
1488,292,304,18
1446,292,2466,113
1446,292,1448,76
1446,292,4016,26
585,291,586,86
585,291,584,52
585,291,299,30
1852,287,1756,126
1852,287,1475,86
1852,287,3912,64
4561,286,4562,32
4561,286,4563,26
4561,286,4620,24
3700,285,2241,44
3700,285,3380,35
3700,285,4891,21
1442,284,99,35
1442,284,1038,28
1442,284,129,21
3912,277,1852,67
3912,277,473,47
3912,277,1475,41
1489,277,2241,136
1489,277,4891,51
1489,277,4432,39
1771,276,1038,50
1771,276,613,46
1771,276,1039,38
547,274,546,49
547,274,284,31
547,274,548,30
620,272,1775,93
620,272,619,87
620,272,2799,46
4488,271,4428,75
4488,271,4430,28
4488,271,4429,16
4912,269,4473,130
4912,269,4913,83
4912,269,4892,70
4445,267,4432,34
4445,267,4446,32
4445,267,4470,28
312,266,602,84
312,266,600,52
312,266,603,46
1591,266,1592,127
1591,266,1593,76
1591,266,4554,55
1593,265,1592,94
1593,265,1591,81
1593,265,3659,50
1816,265,2241,64
1816,265,4432,30
1816,265,2172,30
1470,264,299,10
1470,264,3368,8
1470,264,3329,8
4803,262,4503,87
4803,262,5153,46
4803,262,4726,46
4428,262,4488,107
4428,262,4429,58
4428,262,4482,40
2404,260,2241,68
2404,260,3380,43
2404,260,4432,29
3645,259,829,31
3645,259,1116,14
3645,259,3808,14
2790,258,2795,105
2790,258,2791,70
2790,258,3366,60
4461,258,4456,217
4461,258,4459,181
4461,258,4460,171
824,256,826,75
824,256,1021,63
824,256,869,61
4016,255,1446,26
4016,255,2466,23
4016,255,556,22
653,254,654,41
653,254,346,38
653,254,321,29
4894,254,4895,87
4894,254,3380,56
4894,254,4632,55
4895,253,4894,82
4895,253,3380,72
4895,253,4632,37
826,252,824,75
826,252,1021,66
826,252,821,53
3269,252,4283,32
3269,252,4284,30
3269,252,4285,22
1976,251,3380,30
1976,251,1488,23
1976,251,4632,21
557,250,282,117
557,250,555,102
557,250,558,85
1630,250,3378,24
1630,250,2494,24
1630,250,1188,22
4777,250,2177,24
4777,250,4009,20
4777,250,3380,19
19,247,2241,39
19,247,3269,18
19,247,4432,18
4563,247,4620,89
4563,247,4633,73
4563,247,4565,70
4827,245,4571,22
4827,245,556,18
4827,245,319,15
2147,245,3381,20
2147,245,3378,19
2147,245,2148,14
1021,244,826,65
1021,244,869,64
1021,244,824,61
179,244,1668,31
179,244,3808,23
179,244,3339,15
1691,242,3329,27
1691,242,3380,24
1691,242,3379,24
5163,241,5162,93
5163,241,5165,52
5163,241,4432,44
3489,241,5342,50
3489,241,613,30
3489,241,1796,25
180,240,3380,36
180,240,2494,29
180,240,4009,27
541,239,540,40
541,239,282,28
541,239,1565,23
4484,239,4435,86
4484,239,4432,56
4484,239,4470,55
241,238,2241,46
241,238,4891,26
241,238,3381,25
4501,236,3380,25
4501,236,3381,24
4501,236,4953,24
23,236,3378,40
23,236,540,26
23,236,3819,21
454,236,509,18
454,236,825,15
454,236,2466,14
1113,235,748,20
1113,235,319,13
1113,235,4330,10
4802,232,5335,48
4802,232,3905,36
4802,232,5338,13
5342,225,3489,20
5342,225,5329,18
5342,225,5350,13
1293,224,2241,107
1293,224,4891,44
1293,224,4432,39
4842,222,4466,229
4842,222,4467,229
4842,222,4468,227
282,222,554,86
282,222,557,83
282,222,555,82
4585,222,4581,23
4585,222,4583,17
4585,222,4558,10
3950,219,3380,76
3950,219,3953,60
3950,219,4632,46
346,219,654,59
346,219,630,45
346,219,653,41
1398,217,1377,33
1398,217,4632,31
1398,217,1399,28
1448,217,1446,67
1448,217,2466,48
1448,217,1447,21
